"","breeds","groups"
"1","Blue Lacy","Herding"
"2","Queensland Heeler","Herding"
"3","Rhod Ridgeback","Hound"
"4","Retriever","Sporting"
"5","Chinese Sharpei","Non-Sporting"
"6","Black Mouth Cur","Herding"
"7","Catahoula","Herding"
"8","Staffordshire","Terrier"
"9","Affenpinscher","Toy"
"10","Afghan Hound","Hound"
"11","Airedale Terrier","Terrier"
"12","Akita","Working"
"13","Australian Kelpie","Working"
"14","Alaskan Malamute","Working"
"15","English Bulldog","Non-Sporting"
"16","American Bulldog","Non-Sporting"
"17","American English Coonhound","Hound"
"18","American Eskimo Dog (Miniature)","Non-Sporting"
"19","American Eskimo Dog (Standard)","Non-Sporting"
"20","American Eskimo Dog (Toy)","Toy"
"21","American Foxhound","Hound"
"22","American Hairless Terrier","Terrier"
"23","American Staffordshire Terrier","Terrier"
"24","American Water Spaniel","Sporting"
"25","Anatolian Shepherd Dog","Working"
"26","Australian Cattle Dog","Herding"
"27","Australian Shepherd","Herding"
"28","Australian Terrier","Terrier"
"29","Basenji","Hound"
"30","Basset Hound","Hound"
"31","Beagle","Hound"
"32","Bearded Collie","Herding"
"33","Beauceron","Herding"
"34","Bedlington Terrier","Terrier"
"35","Belgian Malinois","Herding"
"36","Belgian Sheepdog","Herding"
"37","Belgian Tervuren","Herding"
"38","Bergamasco","Herding"
"39","Berger Picard","Herding"
"40","Bernese Mountain Dog","Working"
"41","Bichon Fris_","Non-Sporting"
"42","Black and Tan Coonhound","Hound"
"43","Black Russian Terrier","Working"
"44","Bloodhound","Hound"
"45","Bluetick Coonhound","Hound"
"46","Boerboel","Working"
"47","Border Collie","Herding"
"48","Border Terrier","Terrier"
"49","Borzoi","Hound"
"50","Boston Terrier","Non-Sporting"
"51","Bouvier des Flandres","Herding"
"52","Boxer","Working"
"53","Boykin Spaniel","Sporting"
"54","Briard","Herding"
"55","Brittany","Sporting"
"56","Brussels Griffon","Toy"
"57","Bull Terrier","Terrier"
"58","Bull Terrier (Miniature)","Terrier"
"59","Bulldog","Non-Sporting"
"60","Bullmastiff","Working"
"61","Cairn Terrier","Terrier"
"62","Canaan Dog","Working"
"63","Cane Corso","Working"
"64","Cardigan Welsh Corgi","Herding"
"65","Cavalier King Charles Spaniel","Toy"
"66","Cesky Terrier","Terrier"
"67","Chesapeake Bay Retriever","Sporting"
"68","Chihuahua","Toy"
"69","Chinese Crested Dog","Toy"
"70","Chinese Shar Pei","Non-Sporting"
"71","Chinook","Working"
"72","Chow Chow","Non-Sporting"
"73","Cirneco dell'Etna","Hound"
"74","Clumber Spaniel","Sporting"
"75","Cocker Spaniel","Sporting"
"76","Collie","Herding"
"77","Coton de Tulear","Non-Sporting"
"78","Curly-Coated Retriever","Sporting"
"79","Dachshund","Hound"
"80","Dalmatian","Non-Sporting"
"81","Dandie Dinmont Terrier","Terrier"
"82","Doberman Pinsch","Working"
"83","Doberman Pinscher","Working"
"84","Dogue De Bordeaux","Working"
"85","English Cocker Spaniel","Sporting"
"86","English Foxhound","Hound"
"87","English Setter","Sporting"
"88","English Springer Spaniel","Sporting"
"89","English Toy Spaniel","Toy"
"90","Entlebucher Mountain Dog","Herding"
"91","Field Spaniel","Sporting"
"92","Finnish Lapphund","Herding"
"93","Finnish Spitz","Non-Sporting"
